master_position,instance_id,instance_text
01:03:25:009,spa:01:03:25:010,que
01:03:25:010,spa:01:03:25:011,eran
01:03:25:011,spa:01:03:25:013,en extremo
01:03:25:012,spa:01:03:25:012,grandes
,spa:01:03:25:014,","
01:03:25:013,spa:01:03:25:015,él los codició
,spa:01:03:25:016,;
01:03:25:014,spa:01:03:25:017,por lo que
,,
01:03:25:016,spa:01:03:25:018,nos echó fuera
,,
01:03:25:017,spa:01:03:25:019,y
01:03:25:018,spa:01:03:25:020,mandó
01:03:25:019,spa:01:03:25:021,a sus siervos
01:03:25:020,spa:01:03:25:022,que
01:03:25:021,spa:01:03:25:023,nos mataran
,spa:01:03:25:024,","
01:03:25:022,spa:01:03:25:025,a fin de
01:03:25:023,spa:01:03:25:026,apoderarse de
01:03:25:024,spa:01:03:25:027,nuestros bienes
,spa:01:03:25:028,.
,,
01:03:26:002,spa:01:03:26:001,"Sucedió, pues,"
01:03:26:003,spa:01:03:26:002,que
01:03:26:004,spa:01:03:26:003,huimos
01:03:26:005,spa:01:03:26:004,delante de
01:03:26:006,spa:01:03:26:005,los siervos
01:03:26:007,spa:01:03:26:006,de
01:03:26:008,spa:01:03:26:007,Labán
,spa:01:03:26:008,","
01:03:26:009,spa:01:03:26:009,y
01:03:26:010,spa:01:03:26:010,nos vimos
01:03:26:011,spa:01:03:26:011,obligados
01:03:26:012,spa:01:03:26:012,a
01:03:26:013,spa:01:03:26:013,abandonar
01:03:26:014,spa:01:03:26:014,nuestros bienes
,spa:01:03:26:015,","
01:03:26:015,spa:01:03:26:016,que
01:03:26:016,spa:01:03:26:017,cayeron
01:03:26:017,spa:01:03:26:018,en
01:03:26:018,spa:01:03:26:019,manos
01:03:26:019,spa:01:03:26:020,de
01:03:26:020,spa:01:03:26:021,Labán
,spa:01:03:26:022,.
01:03:27:001,spa:01:03:27:001,Y
,,
,,
01:03:27:004,spa:01:03:27:002,huimos
,,
01:03:27:006,spa:01:03:27:003,al desierto
,,
,,
01:03:27:008,spa:01:03:27:005,los siervos
01:03:27:009,spa:01:03:27:006,de
01:03:27:010,spa:01:03:27:007,Labán
01:03:27:011,spa:01:03:27:004,sin que nos alcanzaran
,spa:01:03:27:008,","
01:03:27:012,spa:01:03:27:009,y
01:03:27:013,spa:01:03:27:010,nos escondimos
01:03:27:014,spa:01:03:27:011,en
01:03:27:015,spa:01:03:27:012,la oquedad
01:03:27:016,spa:01:03:27:013,de
01:03:27:017,spa:01:03:27:014,una roca
,spa:01:03:27:015,.
01:03:28:001,spa:01:03:28:001,Y
01:03:28:002,spa:01:03:28:002,aconteció
01:03:28:003,spa:01:03:28:003,que
01:03:28:004,spa:01:03:28:004,Lamán
,,
01:03:28:006,spa:01:03:28:005,se irritó
