master_position,instance_id,instance_text
01:01:13:018,eng:01:01:13:025,concerning
01:01:13:019,eng:01:01:13:026,Jerusalem
00:00:00:001,eng:01:01:13:027,--
01:01:13:020,eng:01:01:13:028,that
01:01:13:021,eng:01:01:13:029,it should be
01:01:13:022,eng:01:01:13:030,destroyed
00:00:00:001,eng:01:01:13:031,","
01:01:13:023,eng:01:01:13:032,and
01:01:13:024,eng:01:01:13:033,the inhabitants
01:01:13:025,eng:01:01:13:034,thereof
00:00:00:001,eng:01:01:13:035,;
01:01:13:026,eng:01:01:13:036,many
01:01:13:027,eng:01:01:13:037,should perish
01:01:13:028,eng:01:01:13:038,by
01:01:13:029,eng:01:01:13:039,the sword
00:00:00:001,eng:01:01:13:040,","
01:01:13:030,eng:01:01:13:041,and
01:01:13:031,eng:01:01:13:042,many
01:01:13:032,eng:01:01:13:043,should be
01:01:13:033,eng:01:01:13:044,carried away
01:01:13:034,eng:01:01:13:045,captive
01:01:13:035,eng:01:01:13:046,into
01:01:13:036,eng:01:01:13:047,Babylon
00:00:00:001,eng:01:01:13:048,.
01:01:14:001,eng:01:01:14:001,And
01:01:14:002,eng:01:01:14:002,it came to pass
01:01:14:003,eng:01:01:14:003,that
01:01:14:004,eng:01:01:14:004,when
01:01:14:005,eng:01:01:14:005,my father
01:01:14:006,eng:01:01:14:006,had read
01:01:14:007,eng:01:01:14:007,and
01:01:14:008,eng:01:01:14:008,seen
01:01:14:009,eng:01:01:14:009,many
01:01:14:013,eng:01:01:14:013,things
01:01:14:010,eng:01:01:14:010,great
01:01:14:011,eng:01:01:14:011,and
01:01:14:012,eng:01:01:14:012,marvelous
00:00:00:001,eng:01:01:14:014,","
01:01:14:014,eng:01:01:14:015,he did exclaim
01:01:14:015,eng:01:01:14:016,many
01:01:14:016,eng:01:01:14:017,things
01:01:14:017,eng:01:01:14:018,unto
01:01:14:018,eng:01:01:14:019,the Lord
00:00:00:001,eng:01:01:14:020,;
01:01:14:019,eng:01:01:14:021,such
01:01:14:020,eng:01:01:14:022,as
00:00:00:001,eng:01:01:14:023,:
01:01:14:021,eng:01:01:14:024,Great
01:01:14:022,eng:01:01:14:025,and
01:01:14:023,eng:01:01:14:026,marvelous
01:01:14:024,eng:01:01:14:027,are
01:01:14:025,eng:01:01:14:028,thy works
00:00:00:001,eng:01:01:14:029,","
01:01:14:026,eng:01:01:14:030,O
01:01:14:027,eng:01:01:14:031,Lord
01:01:14:028,eng:01:01:14:032,God
01:01:14:029,eng:01:01:14:033,Almighty
00:00:00:001,eng:01:01:14:034,!
01:01:14:030,eng:01:01:14:035,Thy throne
01:01:14:031,eng:01:01:14:036,is
01:01:14:032,eng:01:01:14:037,in
01:01:14:033,eng:01:01:14:038,high
01:01:14:034,eng:01:01:14:039,the heavens
00:00:00:001,eng:01:01:14:040,","
01:01:14:035,eng:01:01:14:041,and
01:01:14:036,eng:01:01:14:042,thy power
00:00:00:001,eng:01:01:14:043,","
01:01:14:037,eng:01:01:14:044,and
01:01:14:038,eng:01:01:14:045,goodness
00:00:00:001,eng:01:01:14:046,","
01:01:14:039,eng:01:01:14:047,and
01:01:14:040,eng:01:01:14:048,mercy
01:01:14:041,eng:01:01:14:049,are
01:01:14:042,eng:01:01:14:050,over
01:01:14:043,eng:01:01:14:051,all
01:01:14:044,eng:01:01:14:052,the inhabitants
01:01:14:045,eng:01:01:14:053,of
01:01:14:046,eng:01:01:14:054,the earth
00:00:00:001,eng:01:01:14:055,;
01:01:14:047,eng:01:01:14:056,and
00:00:00:001,eng:01:01:14:057,","
01:01:14:048,eng:01:01:14:058,because
01:01:14:049,eng:01:01:14:059,thou art
01:01:14:050,eng:01:01:14:060,merciful
00:00:00:001,eng:01:01:14:061,","
01:01:14:051,eng:01:01:14:062,thou wilt not suffer
01:01:15:058,eng:01:01:14:069,they shall perish
01:01:14:052,eng:01:01:14:063,those
01:01:14:053,eng:01:01:14:064,who
01:01:14:054,eng:01:01:14:065,come
01:01:14:055,eng:01:01:14:066,unto
01:01:14:056,eng:01:01:14:067,thee
01:01:14:057,eng:01:01:14:068,that
00:00:00:001,eng:01:01:14:070,!
01:01:15:001,eng:01:01:15:001,And
01:01:15:002,eng:01:01:15:002,after this manner
01:01:15:003,eng:01:01:15:003,was
01:01:15:004,eng:01:01:15:004,the language
01:01:15:005,eng:01:01:15:005,of
01:01:15:006,eng:01:01:15:006,my father
01:01:15:007,eng:01:01:15:007,in
01:01:15:008,eng:01:01:15:008,the praising
01:01:15:009,eng:01:01:15:009,of
01:01:15:010,eng:01:01:15:010,his God
00:00:00:001,eng:01:01:15:011,;
01:01:15:011,eng:01:01:15:012,for
01:01:15:012,eng:01:01:15:013,his soul
01:01:15:013,eng:01:01:15:014,did rejoice
00:00:00:001,eng:01:01:15:015,","
01:01:15:014,eng:01:01:15:016,and
01:01:15:016,eng:01:01:15:018,whole
01:01:15:015,eng:01:01:15:017,his
01:01:15:017,eng:01:01:15:019,heart
01:01:15:018,eng:01:01:15:020,was
01:01:15:019,eng:01:01:15:021,filled
00:00:00:001,eng:01:01:15:022,","
01:01:15:020,eng:01:01:15:023,because
01:01:15:021,eng:01:01:15:024,of
01:01:15:022,eng:01:01:15:025,the things
01:01:15:023,eng:01:01:15:026,which
01:01:15:024,eng:01:01:15:027,he had seen
00:00:00:001,eng:01:01:15:028,","
01:01:15:025,eng:01:01:15:029,yea
00:00:00:001,eng:01:01:15:030,","
01:01:15:026,eng:01:01:15:031,which
01:01:15:027,eng:01:01:15:032,the Lord
01:01:15:028,eng:01:01:15:033,had shown unto him
00:00:00:001,eng:01:01:15:034,.
01:01:16:001,eng:01:01:16:001,And
01:01:16:002,eng:01:01:16:002,now
01:01:16:003,eng:01:01:16:003,I
00:00:00:001,eng:01:01:16:004,","
01:01:16:004,eng:01:01:16:005,Nephi
00:00:00:001,eng:01:01:16:006,","
01:01:16:005,eng:01:01:16:007,do not make
01:01:16:006,eng:01:01:16:008,a
01:01:16:007,eng:01:01:16:009,account
01:01:16:008,eng:01:01:16:010,full
01:01:16:009,eng:01:01:16:011,of
01:01:16:010,eng:01:01:16:012,the things
01:01:16:011,eng:01:01:16:013,which
01:01:16:012,eng:01:01:16:014,my father
01:01:16:013,eng:01:01:16:015,hath written
00:00:00:001,eng:01:01:16:016,","
01:01:16:014,eng:01:01:16:017,for
01:01:16:015,eng:01:01:16:018,he hath written
01:01:16:016,eng:01:01:16:019,many
01:01:16:017,eng:01:01:16:020,things
01:01:16:018,eng:01:01:16:021,which
01:01:16:019,eng:01:01:16:022,he saw
01:01:16:020,eng:01:01:16:023,in
01:01:16:021,eng:01:01:16:024,visions
01:01:16:022,eng:01:01:16:025,and
01:01:16:023,eng:01:01:16:026,in
01:01:16:024,eng:01:01:16:027,dreams
00:00:00:001,eng:01:01:16:028,;
01:01:16:025,eng:01:01:16:029,and
01:01:16:026,eng:01:01:16:030,he
01:01:16:028,eng:01:01:16:032,hath written
01:01:16:027,eng:01:01:16:031,also
01:01:16:029,eng:01:01:16:033,many
01:01:16:030,eng:01:01:16:034,things
01:01:16:031,eng:01:01:16:035,which
01:01:16:032,eng:01:01:16:036,he prophesied
01:01:16:033,eng:01:01:16:037,and
01:01:16:034,eng:01:01:16:038,spake
01:01:16:035,eng:01:01:16:039,unto
01:01:16:036,eng:01:01:16:040,his children
00:00:00:001,eng:01:01:16:041,","
01:01:16:037,eng:01:01:16:042,of
