master_position,instance_id,instance_text,chunk_id
01:01:05:010,eng:01:01:05:012,the Lord,eng_chk_00227
00:00:00:001,eng:01:01:05:013,",",eng_chk_00005
01:01:05:011,eng:01:01:05:014,yea,eng_chk_00292
00:00:00:001,eng:01:01:05:015,",",eng_chk_00005
01:01:05:012,eng:01:01:05:016,even,eng_chk_00065
01:01:05:013,eng:01:01:05:017,with,eng_chk_00289
01:01:05:014,eng:01:01:05:018,all,eng_chk_00022
01:01:05:015,eng:01:01:05:019,his heart,eng_chk_00119
00:00:00:001,eng:01:01:05:020,",",eng_chk_00005
01:01:05:016,eng:01:01:05:021,in,eng_chk_00137
01:01:05:017,eng:01:01:05:022,behalf,eng_chk_00039
01:01:05:018,eng:01:01:05:023,of,eng_chk_00170
01:01:05:019,eng:01:01:05:024,his people,eng_chk_00122
00:00:00:001,eng:01:01:05:025,.,eng_chk_00006
01:01:06:001,eng:01:01:06:001,And,eng_chk_00028
01:01:06:002,eng:01:01:06:002,it came to pass,eng_chk_00140
01:01:06:003,eng:01:01:06:003,as,eng_chk_00032
01:01:06:004,eng:01:01:06:004,he prayed,eng_chk_00098
01:01:06:005,eng:01:01:06:005,unto,eng_chk_00276
01:01:06:006,eng:01:01:06:006,the Lord,eng_chk_00227
00:00:00:001,eng:01:01:06:007,",",eng_chk_00005
01:01:06:007,eng:01:01:06:008,there came,eng_chk_00251
01:01:06:008,eng:01:01:06:009,a pillar,eng_chk_00012
01:01:06:009,eng:01:01:06:010,of,eng_chk_00170
01:01:06:010,eng:01:01:06:011,fire,eng_chk_00069
01:01:06:011,eng:01:01:06:012,and,eng_chk_00028
01:01:06:012,eng:01:01:06:013,dwelt,eng_chk_00064
01:01:06:013,eng:01:01:06:014,upon,eng_chk_00277
01:01:06:014,eng:01:01:06:015,a rock,eng_chk_00014
01:01:06:015,eng:01:01:06:016,before,eng_chk_00037
01:01:06:016,eng:01:01:06:017,him,eng_chk_00113
00:00:00:001,eng:01:01:06:018,;,eng_chk_00008
01:01:06:017,eng:01:01:06:019,and,eng_chk_00028
01:01:06:018,eng:01:01:06:020,he saw,eng_chk_00102
01:01:06:019,eng:01:01:06:021,and,eng_chk_00028
01:01:06:020,eng:01:01:06:022,heard,eng_chk_00108
01:01:06:021,eng:01:01:06:023,much,eng_chk_00158
00:00:00:001,eng:01:01:06:024,;,eng_chk_00008
01:01:06:022,eng:01:01:06:025,and,eng_chk_00028
01:01:06:023,eng:01:01:06:026,because,eng_chk_00036
01:01:06:024,eng:01:01:06:027,of,eng_chk_00170
01:01:06:025,eng:01:01:06:028,the things,eng_chk_00241
01:01:06:026,eng:01:01:06:029,which,eng_chk_00283
01:01:06:027,eng:01:01:06:030,he saw,eng_chk_00102
01:01:06:028,eng:01:01:06:031,and,eng_chk_00028
01:01:06:029,eng:01:01:06:032,heard,eng_chk_00108
01:01:06:030,eng:01:01:06:033,he did quake,eng_chk_00093
01:01:06:031,eng:01:01:06:034,and,eng_chk_00028
01:01:06:032,eng:01:01:06:035,tremble,eng_chk_00272
01:01:06:033,eng:01:01:06:036,exceedingly,eng_chk_00066
00:00:00:001,eng:01:01:06:037,.,eng_chk_00006
01:01:07:001,eng:01:01:07:001,And,eng_chk_00028
01:01:07:002,eng:01:01:07:002,it came to pass,eng_chk_00140
01:01:07:003,eng:01:01:07:003,that,eng_chk_00208
01:01:07:004,eng:01:01:07:004,he returned,eng_chk_00101
01:01:07:005,eng:01:01:07:005,to,eng_chk_00271
01:01:07:006,eng:01:01:07:006,his,eng_chk_00114
01:01:07:007,eng:01:01:07:007,own,eng_chk_00179
01:01:07:008,eng:01:01:07:008,house,eng_chk_00125
01:01:07:009,eng:01:01:07:009,at,eng_chk_00033
01:01:07:010,eng:01:01:07:010,Jerusalem,eng_chk_00142
00:00:00:001,eng:01:01:07:011,;,eng_chk_00008
01:01:07:011,eng:01:01:07:012,and,eng_chk_00028
01:01:07:012,eng:01:01:07:013,he,eng_chk_00090
01:01:07:013,eng:01:01:07:014,cast himself,eng_chk_00048
01:01:07:014,eng:01:01:07:015,upon,eng_chk_00277
01:01:07:015,eng:01:01:07:016,his bed,eng_chk_00115
00:00:00:001,eng:01:01:07:017,",",eng_chk_00005
01:01:07:016,eng:01:01:07:018,being,eng_chk_00041
01:01:07:017,eng:01:01:07:019,overcome,eng_chk_00178
01:01:07:018,eng:01:01:07:020,with,eng_chk_00289
01:01:07:019,eng:01:01:07:021,the Spirit,eng_chk_00237
01:01:07:020,eng:01:01:07:022,and,eng_chk_00028
01:01:07:021,eng:01:01:07:023,the things,eng_chk_00241
01:01:07:022,eng:01:01:07:024,which,eng_chk_00283
01:01:07:023,eng:01:01:07:025,he had seen,eng_chk_00095
00:00:00:001,eng:01:01:07:026,.,eng_chk_00006
01:01:08:001,eng:01:01:08:001,And,eng_chk_00028
01:01:08:002,eng:01:01:08:002,being,eng_chk_00041
01:01:08:003,eng:01:01:08:003,thus,eng_chk_00267
01:01:08:004,eng:01:01:08:004,overcome,eng_chk_00178
